,Y-vm2-E6
0,178.10235595703125
1,166.2549285888672
2,161.80650329589844
3,125.58847045898438
4,174.15199279785156
5,173.6450958251953
6,126.89854431152344
7,143.4344940185547
8,155.78953552246094
9,147.5948486328125
10,105.46369171142578
11,155.30862426757812
12,160.78195190429688
13,117.97299194335938
14,120.7187271118164
15,132.73370361328125
16,101.52243041992188
17,129.2743377685547
18,129.7046661376953
19,111.58071899414062
20,90.51043701171875
21,108.32427978515625
22,108.1457748413086
23,88.75841522216797
24,120.93821716308594
25,114.05105590820312
26,95.92764282226562
27,85.63652038574219
28,90.6226577758789
29,90.45404815673828
30,84.40601348876953
31,90.27883911132812
32,93.06074523925781
33,86.18955993652344
34,81.80291748046875
35,80.56742095947266
36,79.60684204101562
37,76.90904998779297
38,75.39360809326172
39,75.14861297607422
40,74.36111450195312
41,74.26142883300781
42,71.65660858154297
43,71.12968444824219
44,70.47203063964844
45,70.21173858642578
46,68.52842712402344
47,67.67022705078125
48,66.9779281616211
49,66.48619079589844
50,66.22319793701172
51,65.69295501708984
52,65.78853607177734
53,65.83554077148438
54,65.37709045410156
55,64.55900573730469
56,64.1270980834961
57,63.7457275390625
58,63.39728927612305
59,63.150421142578125
60,63.15918731689453
61,63.15503692626953
62,63.010841369628906
63,63.12333679199219
64,62.92169952392578
65,62.56853485107422
66,62.52187728881836
67,62.437103271484375
68,62.23496627807617
69,62.02269744873047
70,62.03254318237305
71,61.97434997558594
72,61.652809143066406
73,61.43922424316406
74,61.06903076171875
75,60.59248352050781
76,60.71088409423828
77,60.722476959228516
78,60.546695709228516
79,60.31099319458008
80,60.1385498046875
81,59.991783142089844
82,59.82916259765625
83,59.66069412231445
84,59.55856704711914
85,59.53020477294922
86,59.46284866333008
87,59.37532043457031
88,59.318572998046875
89,59.221656799316406
90,59.04869079589844
91,58.93797302246094
92,58.8708381652832
93,58.83599090576172
94,58.79758071899414
95,58.756282806396484
96,58.743656158447266
97,58.741249084472656
98,58.71723937988281
99,58.69163131713867
100,58.672515869140625
101,58.66229248046875
102,58.64140319824219
103,58.63239669799805
104,58.622337341308594
105,58.62129211425781
106,58.59518051147461
107,58.56740188598633
108,58.528995513916016
109,58.48929214477539
110,58.46955490112305
111,58.45479202270508
112,58.43661117553711
113,58.41653060913086
114,58.39482879638672
115,58.37421417236328
116,58.35724639892578
117,58.325775146484375
118,58.309181213378906
119,58.29458236694336
120,58.27921676635742
121,58.25742721557617
122,58.239994049072266
123,58.2247200012207
124,58.223426818847656
125,58.21134948730469
126,58.196380615234375
127,58.18175506591797
128,58.16550827026367
129,58.14990997314453
130,58.13974380493164
131,58.12541961669922
132,58.114051818847656
133,58.10431671142578
134,58.088157653808594
135,58.07533264160156
136,58.067298889160156
137,58.05859375
138,58.048973083496094
139,58.03646469116211
140,58.027015686035156
141,58.011253356933594
142,58.001766204833984
143,57.9918212890625
144,57.98334884643555
145,57.982913970947266
146,57.977073669433594
147,57.97077560424805
148,57.95598220825195
149,57.94443130493164
150,57.92947006225586
151,57.91191864013672
152,57.904327392578125
153,57.895992279052734
154,57.89440155029297
155,57.89195251464844
156,57.87744903564453
157,121.42444610595703
158,138.9024658203125
159,126.28832244873047
160,128.82144165039062
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
